Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1927447,-,-,-,39.76,-105.23,-7,1785,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,Temperature,AOD,Cloud Type,DHI,DNI,GHI,Ozone,Relative Humidity,Pressure,Wind Speed,Precipitable Water
2023,1,1,0,0,-0.2,0.016,6,0,0,0,0.263,72.26,808,0.4,1
2023,1,1,1,0,-0.4,0.016,6,0,0,0,0.263,73.46000000000001,808,0.4,1
2023,1,1,2,0,-0.30000000000000004,0.018000000000000002,6,0,0,0,0.263,74.03,808,0.5,1
2023,1,1,3,0,-0.2,0.02,6,0,0,0,0.264,74.35000000000001,808,0.6000000000000001,1
2023,1,1,4,0,-0.30000000000000004,0.02,6,0,0,0,0.265,75.22,808,0.7000000000000001,1
2023,1,1,5,0,-0.8,0.02,6,0,0,0,0.267,77.07000000000001,808,0.8,1
2023,1,1,6,0,-1.2000000000000002,0.021,6,0,0,0,0.268,77.7,808,1,0.9
2023,1,1,7,0,-1.5,0.022,6,0,0,0,0.269,77.89,809,1,0.9
2023,1,1,8,0,0.2,0.022,6,56,44,60,0.271,72.41,809,1.3,0.9
2023,1,1,9,0,2.3000000000000003,0.022,6,142,184,187,0.272,69.27,809,1.6,0.9
2023,1,1,10,0,3.8000000000000003,0.023,6,225,74,251,0.272,65.68,809,1.6,0.9
2023,1,1,11,0,4.7,0.024,6,238,28,250,0.272,63.27,808,1.6,0.9
2023,1,1,12,0,5.1000000000000005,0.024,6,260,35,276,0.272,63.17,807,1.7000000000000002,0.9
2023,1,1,13,0,5.2,0.024,6,277,100,321,0.272,64.5,807,1.9000000000000001,1
2023,1,1,14,0,4.800000000000001,0.023,6,230,51,249,0.274,67.25,807,2,1
2023,1,1,15,0,3.5,0.024,6,84,2,85,0.276,73.4,808,1.6,1.1
2023,1,1,16,0,1.5,0.028,6,26,0,26,0.278,78.64,808,1.4000000000000001,1.2000000000000002
2023,1,1,17,0,0.30000000000000004,0.033,6,0,0,0,0.28,80.79,808,1.3,1.2000000000000002
2023,1,1,18,0,-0.6000000000000001,0.035,6,0,0,0,0.28200000000000003,82.17,808,0.9,1.2000000000000002
2023,1,1,19,0,-1.1,0.034,6,0,0,0,0.28500000000000003,81.32000000000001,808,1,1.2000000000000002
2023,1,1,20,0,-1.4000000000000001,0.039,6,0,0,0,0.28700000000000003,80.43,808,0.9,1.2000000000000002
2023,1,1,21,0,-1.4000000000000001,0.041,6,0,0,0,0.29,79.62,808,0.8,1.2000000000000002
2023,1,1,22,0,-1.4000000000000001,0.036000000000000004,6,0,0,0,0.292,79.3,807,0.7000000000000001,1.2000000000000002
2023,1,1,23,0,-1.6,0.041,6,0,0,0,0.293,79.59,807,0.7000000000000001,1.1
2023,1,2,0,0,-2.1,0.044,6,0,0,0,0.294,80.05,807,0.7000000000000001,1.1
2023,1,2,1,0,-2.5,0.038,6,0,0,0,0.295,79.29,806,0.6000000000000001,1.1
2023,1,2,2,0,-2.8000000000000003,0.038,6,0,0,0,0.299,79.22,806,0.5,1
2023,1,2,3,0,-3.5,0.035,6,0,0,0,0.304,80.63,806,0.7000000000000001,0.9
2023,1,2,4,0,-4.2,0.031,3,0,0,0,0.309,82.27,805,0.8,0.8
2023,1,2,5,0,-4.800000000000001,0.031,3,0,0,0,0.313,83.55,805,0.9,0.8
2023,1,2,6,0,-4.9,0.033,6,0,0,0,0.316,83.04,805,0.9,0.7000000000000001
2023,1,2,7,0,-4.800000000000001,0.033,6,0,0,0,0.316,81.73,805,1,0.7000000000000001
2023,1,2,8,0,-3.7,0.039,6,30,0,30,0.316,77.3,805,1.2000000000000002,0.7000000000000001
2023,1,2,9,0,-1.8,0.046,3,81,0,81,0.316,73.75,806,1.5,0.7000000000000001
2023,1,2,10,0,-0.8,0.046,3,143,0,143,0.317,71.13,806,1.3,0.7000000000000001
2023,1,2,11,0,-0.4,0.048,3,186,0,187,0.319,68.41,805,1.5,0.7000000000000001
2023,1,2,12,0,-0.1,0.049,3,200,0,200,0.322,65.78,803,1.6,0.7000000000000001
2023,1,2,13,0,0,0.049,6,172,3,174,0.323,64.35,803,1.7000000000000002,0.7000000000000001
2023,1,2,14,0,-0.4,0.054,6,119,1,119,0.323,65.89,803,2,0.7000000000000001
2023,1,2,15,0,-1.4000000000000001,0.06,6,67,0,67,0.322,69.88,803,2.1,0.7000000000000001
2023,1,2,16,0,-3.1,0.065,6,29,0,29,0.322,73.25,804,1.9000000000000001,0.7000000000000001
2023,1,2,17,0,-4.5,0.076,6,0,0,0,0.322,76.31,804,1.8,0.7000000000000001
2023,1,2,18,0,-4.9,0.083,6,0,0,0,0.322,77.10000000000001,805,1.9000000000000001,0.7000000000000001
2023,1,2,19,0,-5.1000000000000005,0.078,6,0,0,0,0.322,77.22,805,2,0.7000000000000001
2023,1,2,20,0,-5.1000000000000005,0.073,3,0,0,0,0.321,76.32000000000001,805,2,0.6000000000000001
2023,1,2,21,0,-5.2,0.066,3,0,0,0,0.321,74.7,805,1.8,0.6000000000000001
2023,1,2,22,0,-6,0.058,6,0,0,0,0.32,74.61,805,1.7000000000000002,0.6000000000000001
2023,1,2,23,0,-7.1000000000000005,0.054,6,0,0,0,0.319,75.37,805,1.7000000000000002,0.6000000000000001
2023,1,3,0,0,-7.7,0.049,6,0,0,0,0.317,73.91,805,1.6,0.5
2023,1,3,1,0,-7.9,0.043000000000000003,6,0,0,0,0.316,71.56,806,1.5,0.5
2023,1,3,2,0,-8,0.039,6,0,0,0,0.316,69.67,806,1.2000000000000002,0.5
2023,1,3,3,0,-8.4,0.035,6,0,0,0,0.315,69.26,806,1,0.5
2023,1,3,4,0,-8.4,0.033,6,0,0,0,0.314,67.51,805,1.1,0.5
2023,1,3,5,0,-8.3,0.033,6,0,0,0,0.313,65.92,806,1.1,0.5
2023,1,3,6,0,-8.4,0.032,6,0,0,0,0.313,64.54,806,0.9,0.5
2023,1,3,7,0,-8.3,0.031,6,0,0,0,0.313,62.28,806,0.7000000000000001,0.5
2023,1,3,8,0,-6.7,0.03,6,53,11,54,0.312,58.42,806,0.7000000000000001,0.5
2023,1,3,9,0,-4,0.029,3,160,14,163,0.31,56.09,806,1.2000000000000002,0.5
2023,1,3,10,0,-2.1,0.027,3,261,36,273,0.308,53.56,806,1.7000000000000002,0.5
2023,1,3,11,0,-0.7000000000000001,0.026000000000000002,3,331,59,356,0.305,52.24,806,1.9000000000000001,0.5
2023,1,3,12,0,0.30000000000000004,0.024,3,354,56,380,0.302,51.07,806,2,0.5
2023,1,3,13,0,0.7000000000000001,0.024,3,285,10,290,0.3,50.92,805,1.9000000000000001,0.5
2023,1,3,14,0,0.7000000000000001,0.024,3,154,0,154,0.299,52.09,806,1.7000000000000002,0.5
2023,1,3,15,0,-0.4,0.024,3,80,0,80,0.299,56.17,806,1.2000000000000002,0.5
2023,1,3,16,0,-3.1,0.024,3,27,0,27,0.299,60.22,807,0.7000000000000001,0.5
2023,1,3,17,0,-4.800000000000001,0.025,3,0,0,0,0.3,61.9,807,0.8,0.5
2023,1,3,18,0,-5.4,0.025,3,0,0,0,0.3,62.050000000000004,808,1.3,0.5
2023,1,3,19,0,-5.7,0.025,3,0,0,0,0.302,61.19,808,1.7000000000000002,0.4
2023,1,3,20,0,-5.9,0.024,3,0,0,0,0.303,60.08,808,1.8,0.4
